GtecTime,UnityTime,CombinedEyeValidDataBitMask,LeftEyeValidDataBitMask,RightEyeValidDataBitMask,CombinedEyeOpenness,LeftEyeOpenness,RightEyeOpenness,CombinedPupilDiameter,LeftPupilDiameter,RightPupilDiameter,CombinedPupilPosition,LeftPupilPosition,RightPupilPosition,CombinedGazeOrigin,LeftGazeOrigin,RightGazeOrigin,CombinedGazeDirection,LeftGazeDirection,RightGazeDirection
0,13-55-36.379,3,31,31,0,0.9930757,0.9812854,0,3.919144,3.644638,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(-6.9, 8.0, -35.0)","(33.2, 9.2, -35.4)","(-30.4, 7.3, -34.7)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-36.402,3,31,31,0,0.9991664,0.9669464,0,3.900681,3.626617,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(-8.3, 7.9, -35.0)","(33.2, 9.2, -35.3)","(-30.4, 7.3, -34.8)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-36.424,3,31,31,0,1,1,0,3.858963,3.645691,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(3.6, 8.3, -34.9)","(33.2, 9.1, -35.1)","(-30.4, 7.3, -34.8)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-36.446,3,31,31,0,1,1,0,3.863663,3.656036,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(9.7, 8.6, -35.0)","(33.1, 9.3, -35.2)","(-30.4, 7.4, -34.6)","(0.1, -0.1, 1.0)","(0.0, 0.0, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-36.468,3,31,31,0,1,1,0,3.883453,3.610687,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(19.2, 8.8, -35.1)","(33.2, 9.3, -35.2)","(-30.4, 7.4, -34.7)","(0.1, -0.1, 1.0)","(0.0, 0.0, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-36.493,3,31,31,0,1,1,0,3.908798,3.619537,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(20.9, 8.9, -35.1)","(33.2, 9.2, -35.2)","(-30.4, 7.4, -34.7)","(0.1, -0.1, 1.0)","(0.0, 0.0, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-36.515,3,31,31,0,1,1,0,3.909515,3.623138,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(12.9, 8.7, -35.1)","(33.2, 9.2, -35.2)","(-30.4, 7.4, -34.8)","(0.1, -0.1, 1.0)","(0.0, 0.0, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-36.535,3,31,31,0,1,1,0,3.910629,3.608612,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(12.6, 8.6, -35.1)","(33.2, 9.2, -35.2)","(-30.4, 7.4, -34.9)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-36.557,3,31,31,0,1,1,0,3.877823,3.577957,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(11.8, 8.6, -35.1)","(33.2, 9.2, -35.2)","(-30.4, 7.4, -34.9)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-36.580,3,31,31,0,1,1,0,3.885559,3.598022,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(1.4, 8.3, -35.1)","(33.2, 9.2, -35.2)","(-30.4, 7.4, -34.9)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-36.602,3,31,31,0,1,1,0,3.832535,3.558197,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(-3.9, 8.2, -35.0)","(33.2, 9.2, -35.2)","(-30.4, 7.4, -34.9)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-36.624,3,31,31,0,1,1,0,3.828003,3.59819,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(-3.7, 8.1, -35.0)","(33.2, 9.2, -35.2)","(-30.4, 7.4, -34.9)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
0,13-55-36.647,3,31,31,0,1,1,0,3.82164,3.560837,"(0.0, 0.0)","(0.5, 0.3)","(0.5, 0.4)","(2.5, 8.3, -35.0)","(33.2, 9.2, -35.2)","(-30.4, 7.3, -34.8)","(0.1, -0.1, 1.0)","(0.0, -0.1, 1.0)","(0.1, -0.1, 1.0)"
